id,name,height_dm,weight_hg,base_experience,type_1,type_2,hp,attack,defense
1,bulbasaur,7,69,64.0,grass,poison,45,49,49
2,ivysaur,10,130,142.0,grass,poison,60,62,63
3,venusaur,20,1000,236.0,grass,poison,80,82,83
4,charmander,6,85,62.0,fire,,39,52,43
5,charmeleon,11,190,142.0,fire,,58,64,58
6,charizard,17,905,240.0,fire,flying,78,84,78
7,squirtle,5,90,63.0,water,,44,48,65
8,wartortle,10,225,142.0,water,,59,63,80
9,blastoise,16,855,239.0,water,,79,83,100
10,caterpie,3,29,39.0,bug,,45,30,35
11,metapod,7,99,72.0,bug,,50,20,55
12,butterfree,11,320,178.0,bug,flying,60,45,50
13,weedle,3,32,39.0,bug,poison,40,35,30
14,kakuna,6,100,72.0,bug,poison,45,25,50
15,beedrill,10,295,178.0,bug,poison,65,90,40
16,pidgey,3,18,50.0,normal,flying,40,45,40
17,pidgeotto,11,300,122.0,normal,flying,63,60,55
18,pidgeot,15,395,216.0,normal,flying,83,80,75
19,rattata,3,35,51.0,normal,,30,56,35
20,raticate,7,185,145.0,normal,,55,81,60
21,spearow,3,20,52.0,normal,flying,40,60,30
22,fearow,12,380,155.0,normal,flying,65,90,65
23,ekans,20,69,58.0,poison,,35,60,44
24,arbok,35,650,157.0,poison,,60,95,69
25,pikachu,4,60,112.0,electric,,35,55,40
26,raichu,8,300,218.0,electric,,60,90,55
27,sandshrew,6,120,60.0,ground,,50,75,85
28,sandslash,10,295,158.0,ground,,75,100,110
29,nidoran-f,4,70,55.0,poison,,55,47,52
30,nidorina,8,200,128.0,poison,,70,62,67
31,nidoqueen,13,600,227.0,poison,ground,90,92,87
32,nidoran-m,5,90,55.0,poison,,46,57,40
33,nidorino,9,195,128.0,poison,,61,72,57
34,nidoking,14,620,227.0,poison,ground,81,102,77
35,clefairy,6,75,113.0,fairy,,70,45,48
36,clefable,13,400,217.0,fairy,,95,70,73
37,vulpix,6,99,60.0,fire,,38,41,40
38,ninetales,11,199,177.0,fire,,73,76,75
39,jigglypuff,5,55,95.0,normal,fairy,115,45,20
40,wigglytuff,10,120,196.0,normal,fairy,140,70,45
41,zubat,8,75,49.0,poison,flying,40,45,35
42,golbat,16,550,159.0,poison,flying,75,80,70
43,oddish,5,54,64.0,grass,poison,45,50,55
44,gloom,8,86,138.0,grass,poison,60,65,70
45,vileplume,12,186,221.0,grass,poison,75,80,85
46,paras,3,54,57.0,bug,grass,35,70,55
47,parasect,10,295,142.0,bug,grass,60,95,80
48,venonat,10,300,61.0,bug,poison,60,55,50
49,venomoth,15,125,158.0,bug,poison,70,65,60
50,diglett,2,8,53.0,ground,,10,55,25
51,dugtrio,7,333,149.0,ground,,35,100,50
52,meowth,4,42,58.0,normal,,40,45,35
53,persian,10,320,154.0,normal,,65,70,60
54,psyduck,8,196,64.0,water,,50,52,48
55,golduck,17,766,175.0,water,,80,82,78
56,mankey,5,280,61.0,fighting,,40,80,35
57,primeape,10,320,159.0,fighting,,65,105,60
58,growlithe,7,190,70.0,fire,,55,70,45
59,arcanine,19,1550,194.0,fire,,90,110,80
60,poliwag,6,124,60.0,water,,40,50,40
61,poliwhirl,10,200,135.0,water,,65,65,65
62,poliwrath,13,540,230.0,water,fighting,90,95,95
63,abra,9,195,62.0,psychic,,25,20,15
64,kadabra,13,565,140.0,psychic,,40,35,30
65,alakazam,15,480,225.0,psychic,,55,50,45
66,machop,8,195,61.0,fighting,,70,80,50
67,machoke,15,705,142.0,fighting,,80,100,70
68,machamp,16,1300,227.0,fighting,,90,130,80
69,bellsprout,7,40,60.0,grass,poison,50,75,35
70,weepinbell,10,64,137.0,grass,poison,65,90,50
71,victreebel,17,155,221.0,grass,poison,80,105,65
72,tentacool,9,455,67.0,water,poison,40,40,35
73,tentacruel,16,550,180.0,water,poison,80,70,65
74,geodude,4,200,60.0,rock,ground,40,80,100
75,graveler,10,1050,137.0,rock,ground,55,95,115
76,golem,14,3000,223.0,rock,ground,80,120,130
77,ponyta,10,300,82.0,fire,,50,85,55
78,rapidash,17,950,175.0,fire,,65,100,70
79,slowpoke,12,360,63.0,water,psychic,90,65,65
80,slowbro,16,785,172.0,water,psychic,95,75,110
81,magnemite,3,60,65.0,electric,steel,25,35,70
82,magneton,10,600,163.0,electric,steel,50,60,95
83,farfetchd,8,150,132.0,normal,flying,52,90,55
84,doduo,14,392,62.0,normal,flying,35,85,45
85,dodrio,18,852,165.0,normal,flying,60,110,70
86,seel,11,900,65.0,water,,65,45,55
87,dewgong,17,1200,166.0,water,ice,90,70,80
88,grimer,9,300,65.0,poison,,80,80,50
89,muk,12,300,175.0,poison,,105,105,75
90,shellder,3,40,61.0,water,,30,65,100
91,cloyster,15,1325,184.0,water,ice,50,95,180
92,gastly,13,1,62.0,ghost,poison,30,35,30
93,haunter,16,1,142.0,ghost,poison,45,50,45
94,gengar,15,405,225.0,ghost,poison,60,65,60
95,onix,88,2100,77.0,rock,ground,35,45,160
96,drowzee,10,324,66.0,psychic,,60,48,45
97,hypno,16,756,169.0,psychic,,85,73,70
98,krabby,4,65,65.0,water,,30,105,90
99,kingler,13,600,166.0,water,,55,130,115
100,voltorb,5,104,66.0,electric,,40,30,50
101,electrode,12,666,172.0,electric,,60,50,70
102,exeggcute,4,25,65.0,grass,psychic,60,40,80
103,exeggutor,20,1200,186.0,grass,psychic,95,95,85
104,cubone,4,65,64.0,ground,,50,50,95
105,marowak,10,450,149.0,ground,,60,80,110
106,hitmonlee,15,498,159.0,fighting,,50,120,53
107,hitmonchan,14,502,159.0,fighting,,50,105,79
108,lickitung,12,655,77.0,normal,,90,55,75
109,koffing,6,10,68.0,poison,,40,65,95
110,weezing,12,95,172.0,poison,,65,90,120
111,rhyhorn,10,1150,69.0,ground,rock,80,85,95
112,rhydon,19,1200,170.0,ground,rock,105,130,120
113,chansey,11,346,395.0,normal,,250,5,5
114,tangela,10,350,87.0,grass,,65,55,115
115,kangaskhan,22,800,172.0,normal,,105,95,80
116,horsea,4,80,59.0,water,,30,40,70
117,seadra,12,250,154.0,water,,55,65,95
118,goldeen,6,150,64.0,water,,45,67,60
119,seaking,13,390,158.0,water,,80,92,65
120,staryu,8,345,68.0,water,,30,45,55
121,starmie,11,800,182.0,water,psychic,60,75,85
122,mr-mime,13,545,161.0,psychic,fairy,40,45,65
123,scyther,15,560,100.0,bug,flying,70,110,80
124,jynx,14,406,159.0,ice,psychic,65,50,35
125,electabuzz,11,300,172.0,electric,,65,83,57
126,magmar,13,445,173.0,fire,,65,95,57
127,pinsir,15,550,175.0,bug,,65,125,100
128,tauros,14,884,172.0,normal,,75,100,95
129,magikarp,9,100,40.0,water,,20,10,55
130,gyarados,65,2350,189.0,water,flying,95,125,79
131,lapras,25,2200,187.0,water,ice,130,85,80
132,ditto,3,40,101.0,normal,,48,48,48
133,eevee,3,65,65.0,normal,,55,55,50
134,vaporeon,10,290,184.0,water,,130,65,60
135,jolteon,8,245,184.0,electric,,65,65,60
136,flareon,9,250,184.0,fire,,65,130,60
137,porygon,8,365,79.0,normal,,65,60,70
138,omanyte,4,75,71.0,rock,water,35,40,100
139,omastar,10,350,173.0,rock,water,70,60,125
